ID,Cemetery,Year,TS,PPA,Tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Fabric,Fabric variant,Slip and painted decoration,Burnishing and polishing,Shaping process: primary,Shaping process: rim,Shaping process: base,Shaping process: comments,Description,Drawing number,Part,Notes,General shape,Pottery type
TAG6091_EGPOT_08,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Nile B2,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6107_EGPOT_01,WT1,2022,,,6107,Q3A,,,L1,Q3A between FT4-FT5 and F11 (from N to S); from FT4-FT5 to FT13 and area around TB4-OPalpha (from W to E) (PSF012),,,N of T4,Nile,"very sandy, Nile E?",,,,,,"Uncertain, worn sherd",body sherd,,X,"""N of T4"" is marked on the label but not in the TAG list",Undetermined,Undetermined
TAG6108_EGPOT_01,WT1,2022,,,6108,Q3A,,,L33,,,,TB9,Marl A1,,completely eroded,,handmade,folded rim,,,"Rim sherd, folded, from a jar",614,R,,Closed vessel,Predynastic
TAG6111_EGPOT_01,WT1,2022,,,6111,Q3A,,,L30,,FT11,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6117_EGPOT_01,WT1,2022,,,6117,Q3A,,,L42,,FT12,,,Nile,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6120_EGPOT_01,WT1,2022,,,6120,Q3A,,,L30,,FT11,,,Marl A3,,uncoated,,wheel made,,,,"body sherd from a small globular jar with folded and modelled rim, short, straight neck and round base. Wheel made",551,X,,Closed vessel,22a1
TAG6129_EGPOT_01,WT1,2022,,,6129,Q3A,,,L45,,,,TB6,Marl A3,,uncoated,,wheel made,,wheel made,,"body sherd near base from a small globular jar with folded and modelled rim, short, straight neck and round base. Wheel made",551,X,,Closed vessel,22a1
TAG6151_EGPOT_01,WT1,2022,,,6151,Q3A,,,L53,,,,TB6,Marl A3,,uncoated,,wheel made,,,,"body sherd from a small globular jar with folded and modelled rim, short, straight neck and round base. Wheel made",551,X,,Closed vessel,22a1
TAG6162_EGPOT_01,WT1,2022,,,6162,Q3B,,,L57,,,,TB8,Marl C2,,uncoated,,,,,,body sherd,607,X,same vessel as dr. no. 607,Closed vessel,18b2
TAG6162_EGPOT_02,WT1,2022,,,6162,Q3B,,,L57,,,,TB8,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,tiny rim sherd from small jar #610,610,R,,Closed vessel,18b2
TAG6162_EGPOT_03,WT1,2022,,,6162,Q3B,,,L57,,,,TB8,Nile B2,coarse,red slip out,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6231_EGPOT_01,WT1,2022,,,6231,Q3B,,,L18,,,,TB8,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6231_EGPOT_02,WT1,2022,,,6231,Q3B,,,L18,,,,TB8,Marl C2,,uncoated,,"Rilling marks below turned rim, lower body not preserved (but presumed coil made)",folded and modelled rim,,,rim sherd from a jar with folded and modeller rim,607,R,joins entry no. 166,Closed vessel,18b2
TAG6231_EGPOT_03,WT1,2022,,,6231,Q3B,,,L18,,,,TB8,Nile B2,coarse,uncoated,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,
TAG6237_EGPOT_01,WT1,2022,,,6237,Q3A,,,L45 cleaning,,,,TB6,Marl A1,,,,handmade,folded rim,,,"Rim sherd, folded, from a jar",614,R,,Closed vessel,Predynastic
TAG6237_EGPOT_02,WT1,2022,,,6237,Q3A,,,L45 cleaning,,,,TB6,Nile C,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6243_EGPOT_01,WT1,2022,,,6243,Q3A,,,L53,,,,TB6,Marl,Unknown fabric,,,,,,"Uncertain, worn sherd",body sherd near the base from a large vessel,,X,joins entry 111,Closed vessel,Undetermined
TAG6243_EGPOT_02,WT1,2022,,,6243,Q3A,,,L53,,,,TB6,Marl,Unknown fabric,,,,,,"Uncertain, worn sherd",body sherd near the base from a large vessel,,X,joins entry 110,Closed vessel,Undetermined
TAG6243_EGPOT_03,WT1,2022,,,6243,Q3A,,,L53,,,,TB6,Marl C1,,uncoated,,"handmade by coiling, interior smoothed irregularly with fingers",,,,body sherd near the base from a medium size jar. Fingers smoothing inside,Pot 2,X,"joins entry 244, Tag 6263",Closed vessel,18b1
TAG6243_EGPOT_04,WT1,2022,,,6243,Q3A,,,L53,,,,TB6,Nile B2,coarse,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6250_EGPOT_01,WT1,2022,,,6250,Q1B,,,L68,,FT14,,,Marl,Unknown fabric,,,,,,,body sherd from a closed form,,X,,Closed vessel,Undetermined
TAG6255_EGPOT_01,WT1,2022,,,6255,Q3A,,,L72,,FT16,,,Nile B1,,uncoated,,wheel made,,,,"body sherd from a cup, wheel made",604,X,same vessel as Tag 6417 and 6082,Open vessel,3a1.4
TAG6263_EGPOT_01,WT1,2022,,,6263,Q3A,,,L61,,,,TB6,Marl A1,,,,,,,,body sherd,,X,,Undetermined,Predynastic
TAG6263_EGPOT_02,WT1,2022,,,6263,Q3A,,,L61,,,,TB6,Marl A3,,uncoated,,wheel made,,wheel made,,"body sherd near base from a small globular jar with folded and modelled rim, short, straight neck and round base. Wheel made",551,X,,Closed vessel,22a1
TAG6263_EGPOT_03,WT1,2022,,,6263,Q3A,,,L61,,,,TB6,Marl C1,,uncoated,,"handmade by coiling, interior smoothed irregularly with fingers",,,,body sherd near the base from a medium size jar. Fingers smoothing inside,Pot 2,X,joins entry 243,Closed vessel,18b1
TAG6271_EGPOT_01,WT1,2022,,,6271,Q3A,,,L74,,,,TB6,Nile B2,fine,red slip inside/ eroded outside,,wheel made,wheel made,,,rim sherd from a bowl with direct rim and simple contour. There is a mark on the interior made after firing. It is a simple stroke and could be accidental,606,R,"potmark on interior, postfiring, most likely modern. V.I. 138 (estimated)",Open vessel,3a2.3
TAG6307_EGPOT_01,WT1,2022,,,6307,Q3B,,,L64,,,,TB8,Nile C,coarse,uncoated,,Wheel made,,,,body sherd,,X,,Undetermined,Undetermined
TAG6307_EGPOT_02,WT1,2022,,,6307,Q3B,,,L64,,,,TB8,Nile C,coarse,uncoated,,Wheel made,,,,body sherd,,X,,Undetermined,Undetermined
TAG6311_EGPOT_01,WT1,2022,,,6311,Q3A,,,L1,,,,between T6 and T7,Nile B2,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6318_EGPOT_01,WT1,2022,,,6318,Q3B,,,L64,,,,TB8,Aswan clay,,Red slip inside/eroded outside,Polished inside/eroded outside,wheel made,,,,"rim sherd from a small dish with direct rim, wheel made",609,R,the sherd is too small to take accurate measurements,Open vessel,2a1
TAG6318_EGPOT_02,WT1,2022,,,6318,Q3B,,,L64,,,,TB8,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 comprising most of the profile,611,X,joins rim sherd Tag 6447 and body sherd Tag 6598,Closed vessel,18b2
TAG6323_EGPOT_01,WT1,2022,,,6323,Q3B,,,L1,,,,TB8 to East,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,"rim sherd, non joining from jar #611",611,R,,Closed vessel,18b2
TAG6334_EGPOT_01,WT1,2022,,,6334,Q3B,,,L84,,,,"TB8, TB6",Marl C2,,uncoated,,"Rilling marks below turned rim, lower body not preserved (but presumed coil made)",folded and modelled rim,,,rim sherd from a jar with folded and modeller rim,607,R,joins entry no. 167,Closed vessel,18b2
TAG6377_EGPOT_01,WT1,2022,,29,6377,Q3B,,,L1,,,,N of TB8,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6379_EGPOT_01,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6379_EGPOT_02,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6379_EGPOT_03,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6379_EGPOT_04,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6379_EGPOT_05,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6379_EGPOT_06,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Marl A3,,,,,folded rim,,"Uncertain, worn sherd","Rim sherd, impossible to measure",,R,,Closed vessel,Undetermined
TAG6379_EGPOT_07,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,joins body sherd Tag 6477,Closed vessel,18b2
TAG6379_EGPOT_08,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Nile B1,coarse,red slip inside/ outside,,wheel made,wheel made,,,"rim sherd from a cup, direct, wheel made",602,R,same vessel as Tag 6386,Open vessel,3a1.3
TAG6379_EGPOT_09,WT1,2022,,,6379,Q3B,,,L1,,,,N of TB8,Nile B1,,thin red rim on uncoated,,wheel made,wheel made,,,"rim sherd from a cup, direct, wheel made",603,R,,Open vessel,3a1.4
TAG6386_EGPOT_01,WT1,2022,,,6386,Q3B,,,L100,,FT22,,TB10,Nile B1,coarse,red slip inside/ outside,,wheel made,wheel made,,,"rim sherd from a cup, direct, wheel made",602,R,"same vessel as Tag 6379, drawn sherd",Open vessel,3a1.3
TAG6394_EGPOT_01,WT1,2022,,,6394,Q3A,,,L1,area between TB6-TB5=FT38 (N of TB6),,,,Marl C1,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6394_EGPOT_02,WT1,2022,,,6394,Q3A,,,L1,area between TB6-TB5=FT38 (N of TB6),,,,Nile B1,,uncoated,,wheel made,,"Wheel made, scraped outside with tool",,"body sherd near the base from an open form, scraping marks outside",,X,,Open vessel,Undetermined
TAG6394_EGPOT_03,WT1,2022,,,6394,Q3A,,,L1,area between TB6-TB5=FT38 (N of TB6),,,,Nile B1,,uncoated,,wheel made,,"Wheel made, scraped outside with tool",,"body sherd near the base from an open form, wheel made, scraping marks outside",,X,,Open vessel,Undetermined
TAG6394_EGPOT_04,WT1,2022,,,6394,Q3A,,,L1,area between TB6-TB5=FT38 (N of TB6),,,,Nile B2,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6403_EGPOT_01,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6403_EGPOT_02,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6403_EGPOT_03,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6403_EGPOT_04,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6403_EGPOT_05,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6403_EGPOT_06,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl A3,,uncoated,,wheel made,,,,"body sherd from a jar, wheel made",,X,,Closed vessel,Undetermined
TAG6403_EGPOT_07,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",uncoated,,"handmade, interior smoothed irregularly with fingers",,,,"body sherd near base from a jar, fingers mark on interior",pot 1,X,possibly same vessel as body sherds Tag 6591,Closed vessel,18b1
TAG6403_EGPOT_08,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",uncoated,,"handmade, interior smoothed irregularly with fingers",,,,"body sherd near base from a jar, fingers mark on interior",pot 1,X,possibly same vessel as body sherds Tag 6591,Closed vessel,18b1
TAG6403_EGPOT_09,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",uncoated,,"handmade, interior smoothed irregularly with fingers",,,,"body sherd near base from a jar, fingers mark on interior",pot 1,X,possibly same vessel as body sherds Tag 6591,Closed vessel,18b1
TAG6403_EGPOT_10,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Marl C1,,uncoated,,"handmade by coiling, interior smoothed irregularly with fingers",,,,body sherd near the base from a medium size jar. Fingers smoothing inside,Pot 2,X,,Closed vessel,18b1
TAG6403_EGPOT_11,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile,coarse,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6403_EGPOT_12,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,,red splip outside/ eroded inside,,wheel made,,,,body sherd of a potstand,612,X,,Pot-stand,33a
TAG6403_EGPOT_13,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_14,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_15,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_16,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_17,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_18,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_19,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_20,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6411_EGPOT_01,WT1,2022,,,6411,Q4A,,,L1,residual part of Q4A (see Q4A excavated on 22th oct): a strip in the Northern sector of Q4A from TB17 to TB7 and the limit of Q4A/Q4B (?),,,,Marl A3,,uncoated,,"handmade, ridges of coils visible",,"handmade by coiling, scraped outside with tool",,"body sherd near the base from a medium size jar in Marl A3, coil made, scraping marks outside",,X,"same vessel as tags 6062, 6577",Closed vessel,30b3
TAG6417_EGPOT_01,WT1,2022,,,6417,Q3A,,,L1,between FT17 and TB5=FT38,,,between FT17 and FT38=TB5,Nile B1,,thin red rim on uncoated,,wheel made,wheel made,,,"rim sherd form a cup, direct, wheel made",604,R,"joins sherd in Tag 6082. ""between F17 and T5"" is written on the label but not in the TAG list",Open vessel,3a1.4
TAG6419_EGPOT_01,WT1,2022,,33,6419,Q4B,,,L1,,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,handmade by coiling and finished on wheel,"base sherd, round, joining a shoulder sherd from the same tag to form almost the complete profile of jar #610,",610,B,joins rim Tag 6429,Closed vessel,18b2
TAG6419_EGPOT_02,WT1,2022,,33,6419,Q4B,,,L1,,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,rim sherd,610,R,joins rim Tag 6429,Closed vessel,18b2
TAG6421_EGPOT_01,WT1,2022,,35,6421,Q4B,,,L1,,,,,Marl C1,,uncoated,,"handmade by coiling, interior smoothed irregularly with fingers",,,,body sherd near the base from a medium size jar. Fingers smoothing inside,Pot 2,X,entries 243-247 belong to the same vessel but do not join,Closed vessel,18b1
TAG6429_EGPOT_01,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C1,,uncoated,,"handmade by coiling, interior smoothed irregularly with fingers",,,,body sherd near the base from a medium size jar. Fingers smoothing inside,Pot 2,X,,Closed vessel,18b1
TAG6429_EGPOT_02,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,"rim sherd from a small jar with direct and modelled rim, ellipsoid body and round base. The vessel was made by coiling and finished on the wheel (Jade personal comm.). The base has traces of scaping on the outside.",610,R,The rim joins 3 sherds with the same tag to form a larger sherd that comprises the upper part of the vessels and joins base sherd Tag 6419 to complete the profile. It also joins rim sherd Tag 6419,Closed vessel,18b2
TAG6429_EGPOT_03,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #610,610,X,joins body sherd Tag 6591,Closed vessel,18b2
